iter	RMSE
1316	40207.1225
1317	40203.83259
1318	40199.99788
1319	40189.0669
1320	40178.16456
1321	40169.922
1322	40157.75293
1323	40154.54204
1324	40150.67311
1325	40146.82492
1326	40145.55299
1327	40141.72546
1328	40141.11308
1329	40123.52385
1330	40122.26677
1331	40111.51346
1332	40108.38994
1333	40079.73121
1334	40065.24881
1335	40048.43137
1336	40047.17864
1337	40043.41503
1338	39940.25626
1339	39929.65868
1340	39928.40974
1341	39924.66921
1342	39914.14057
1343	39903.66233
1344	39899.97304
1345	39898.73405
1346	39897.50286
1347	39887.09142
1348	39883.43938
1349	39881.21753
1350	39880.43587
1351	39879.64812
1352	39876.05745
1353	39874.85235
1354	39873.65439
1355	39863.32127
1356	39859.76265
1357	39856.22437
1358	39824.4975
1359	39810.42157
1360	39806.77283
1361	39804.75778
1362	39790.74976
1363	39790.18686
1364	39772.85577
1365	39772.09629
1366	39771.34162
1367	39770.22184
1368	39738.92375
1369	39738.17585
1370	39734.6189
1371	39731.08211
1372	39696.83345
1373	39694.69551
1374	39684.45727
1375	39683.29831
1376	39682.55943
1377	39681.82651
1378	39647.83851
1379	39616.82541
1380	39602.94992
1381	39572.32474
1382	39571.58729
1383	39561.37205
1384	39553.49163
1385	39523.189
1386	39495.44533
1387	39494.7743
1388	39494.04156
1389	39483.87683
1390	39476.07957
1391	39431.24087
1392	39421.10775
1393	39420.28971
1394	39386.58361
1395	39356.82536
1396	39352.89213
1397	39349.71997
1398	39348.90964
1399	39221.90436
1400	39216.19386
1401	39202.49936
1402	39199.44381
1403	39171.33386
1404	39157.69799
1405	39153.63409
1406	39071.91497
1407	39069.91258
1408	39064.31467
1409	39060.91761
1410	39055.37933
1411	39052.07786
1412	39049.01292
1413	39016.09105
1414	39012.82
1415	38999.25624
1416	38985.75978
1417	38984.60705
1418	38979.12641
1419	38977.96646
1420	38976.84854
1421	38973.74194
1422	38970.67024
1423	38957.23539
1424	38956.13019
1425	38955.03235
1426	38941.66101
1427	38938.27272
1428	38815.48899
1429	38802.14976
1430	38792.16342
1431	38791.02141
1432	38736.83104
1433	38736.14397
1434	38733.12542
1435	38730.09651
1436	38716.81865
1437	38664.15468
1438	38660.7428
1439	38639.35608
1440	38636.57189
1441	38633.18755
1442	38629.82086
1443	38626.53364
1444	38625.43766
1445	38612.2893
1446	38579.86616
1447	38578.77572
1448	38565.01107
1449	38555.17346
1450	38545.38288
1451	38532.42535
1452	38422.67142
1453	38412.99063
1454	38392.11583
1455	38374.67666
1456	38361.48325
1457	38348.35364
1458	38345.32067
1459	38337.05445
1460	38333.8319
1461	38324.2333
1462	38314.6618
1463	38301.59115
1464	38193.4389
1465	38192.33392
1466	38180.07162
1467	38178.99811
1468	38170.82106
1469	38158.37879
1470	38155.54197
1471	38143.3644
1472	38073.37533
1473	38060.20277
1474	38047.21965
1475	38044.25879
1476	38037.07602
1477	38024.15318
1478	38012.12972
1479	38004.19958
1480	37994.07214
1481	37993.00847
1482	37990.37015
1483	37978.37149
1484	37966.59498
1485	37856.51907
1486	37844.4537
1487	37739.48232
1488	37736.79191
1489	37633.23858
1490	37630.2168
1491	37625.21243
1492	37622.01755
1493	37617.06827
1494	37613.95011
1495	37601.01771
1496	37599.97917
1497	37597.09033
1498	37585.08797
1499	37584.05961
1500	37574.93979
1501	37572.37984
1502	37560.45333
1503	37547.66596
1504	37546.64694
1505	37543.5795
1506	37540.52901
1507	37528.72107
1508	37516.99098
1509	37509.269
1510	37500.22249
1511	37487.53033
1512	37385.21644
1513	37382.36991
1514	37374.72476
1515	37373.71717
1516	37361.98865
1517	37360.9881
1518	37360.05584
1519	37359.42924
1520	37358.80957
1521	37354.02261
1522	37351.51713
1523	37339.5293
1524	37334.81514
1525	37328.02023
1526	37316.42908
1527	37306.27323
1528	37205.10735
1529	37204.12796
1530	37203.15435
1531	37196.42843
1532	37193.93586
1533	37193.32272
1534	37186.66445
1535	37175.77048
1536	37174.24668
1537	37160.17694
1538	37148.70264
1539	37137.05196
1540	37127.03936
1541	37114.16377
1542	37029.44739
1543	37026.90717
1544	37024.18452
1545	37015.42181
1546	37014.47123
1547	37003.12967
1548	37002.1855
1549	37001.24697
1550	37000.63706
1551	36991.91231
1552	36989.22861
1553	36988.72244
1554	36988.13622
1555	36987.50252
1556	36986.92587
1557	36980.33415
1558	36967.55249
1559	36966.86144
1560	36901.03085
1561	36900.45442
1562	36888.04641
1563	36875.69887
1564	36869.21536
1565	36856.92681
1566	36845.68307
1567	36833.26263
1568	36821.11859
1569	36809.03297
1570	36798.51278
1571	36788.69416
1572	36786.2233
1573	36772.80864
1574	36760.53095
1575	36732.68154
1576	36731.76696
1577	36719.51667
1578	36673.28506
1579	36603.84279
1580	36589.21202
1581	36588.2938
1582	36587.44241
1583	36586.8673
1584	36576.75469
1585	36562.549
1586	36552.7773
1587	36552.20584
1588	36551.63733
1589	36550.74253
1590	36549.86417
1591	36539.42307
1592	36527.72517
1593	36526.8513
1594	36526.29872
1595	36525.42403
1596	36524.87826
1597	36522.36868
1598	36520.58174
1599	36520.02651
1600	36513.65885
1601	36501.68743
1602	36491.38813
1603	36479.81671
1604	36478.95777
1605	36478.11408
1606	36466.24717
1607	36456.66554
1608	36447.19259
1609	36446.66325
